"currency";"currency_info";"currency_name";"currency_symbol";"currency_conversion";"currency_conversion_onprem";"currency_conversion_modern"
"ars";"Argentina – Peso ($) ARS";"ARS";"$";"125,055";"125,055";"0,0"
"aud";"Australia – Dollar ($) AUD";"AUD";"$";"1,49656";"1,5797";"1,4935404376073482"
"brl";"Brazil – Real (R$) BRL";"BRL";"R$";"5,72574";"5,88305";"5,566699999268368"
"cad";"Canada – Dollar ($) CAD";"CAD";"$";"1,3568";"1,416";"1,367050000081777"
"chf";"Switzerland – Franc (chf) CHF";"CHF";"CHF&nbsp;";"0,895528";"1,121642";"0,7893500000034969"
"dkk";"Denmark – Krone (kr) DKK";"DKK";"kr";"6,98519";"7,97003";"6,347850001073834"
"eur";"Euro Zone – Euro (€) EUR";"EUR";"&euro;";"0,93606";"1,07059";"0,8498342823149486"
"gbp";"United Kingdom – Pound (£) GBP";"GBP";"&pound;";"0,76896";"0,9575";"0,7408230544134533"
"hkd";"Hong Kong – Dollar (HK$) HKD";"HKD";"HK$";"7,76";"7,76";"0,0"
"idr";"Indonesia – Rupiah (Rp) IDR";"IDR";"Rp";"15640,0";"15640,0";"0,0"
"inr";"India – Rupee (₹) INR";"INR";"₹";"83,19468";"80,1515";"89,98125006703603"
"jpy";"Japan – Yen (¥) JPY";"JPY";"&yen;";"149,92504";"119,0";"155,95000093258102"
"krw";"Korea – Won (₩) KRW";"KRW";"&#8361;";"1351,35135";"1080,0";"1429,99999857"
"mxn";"Mexico – Peso (MXN$) MXN";"MXN";"MXN$";"21,1";"21,1";"0,0"
"myr";"Malaysia – Ringgit (RM$) MYR";"MYR";"RM$";"4,2";"4,2";"0,0"
"nok";"Norway – Krone (kr) NOK";"NOK";"kr";"10,9589";"11,0643";"10,036399995430628"
"nzd";"New Zealand – Dollar ($) NZD";"NZD";"$";"1,61778";"1,72413";"1,721170395869191"
"rub";"Russia – Ruble (руб) RUB";"RUB";"РУБ";"109,05125";"109,05125";"78,199999909288"
"sar";"Saudi Arabia – Riyal (SR) SAR";"SAR";"SR&nbsp;";"3,75";"3,75";"0,0"
"sek";"Sweden – Krona (kr) SEK";"SEK";"kr";"11,05094";"10,96844";"9,192649998308552"
"try";"Turkey – Lira (TL) TRY";"TRY";"₺&nbsp;";"18,1";"18,1";"0,0"
"twd";"Taiwan – Dollar (NT$) TWD";"TWD";"NT$";"32,15434";"34,4";"31,42700000673795"
"usd";"United States – Dollar ($) USD";"USD";"$";"1,0";"1,0";"1,0"
"zar";"South Africa  – Rand (R) ZAR";"ZAR";"R&nbsp;";"17,78";"17,78";"0,0"
